het zelfstandig naamwoord                       noun
het persoonlijk voornaamwoord                   personal pronoun
het werkwoord                                   verb
de  hoofdzin                                    main clause
het bijwoord                                    adverb
inversie                                        inversion
de vraagwoorden                                 question words
het bijvoeglijk naamwoord                       adjective
het telwoord                                    numeral
het meervoud                                    plural
het voorzetsel                                  preposition
het verkleinwoord                               diminutive
het rangtelwoord                                ordinal number
het persoonlijk voornaamwoord                   personal pronoun
het bezittelijk voornaamwoord                   possessive pronoun
het niet-zelfstandig bezittelijk voornaamwoord  possessive adjective
het aanwijzend voornaamwoord                    demonstrative pronoun
het voorzetsel                                  preposition
het lidwoord                                    article
het onbepaald voornaamwoord                     indefinite pronoun
het onbepaald bijwoord                          indefinite adverb
woord volgorde                                  word order
ontkenning                                      negation
vraagwoorden                                    question words
de trappen van vergelijking                     degrees of comparison
het modale werkwoord                            modal verb
modale werkwoorden                              modal verbs
de persoonsvorm                                 finite verb
werkwoord + infinitief                          verb + infinitive
scheidbare werkwoorden                          separable verbs
onscheidbare werkwoorden                        inseparable verbs
wederkerende werkwoorden                        reflexive verbs
de gebiedende wijs                              the imperative
werkwoorden + te + infinitief                   -
voorzetsels + werkwoorden                       -
het bijvoeglijk naamwoord                       adjective
ontkenning                                      negation
werkwoord + te + infinitief                     -
aan + het + infinitief                          -
vraagwoorden                                    question words
het meervoud                                    plural
de voltooide tijd / perfectum                   present perfect
het voltooid deelwoord                          past participle
de verleden tijd                                past tense
